actor,instrument,objective,sector,climate_amount_usd_m
Germany / KfW Bankengruppe (KfW banking group),debt,both,water,130.8533684
Global Environment Facility / GEF Trust Fund,grant,both,buildings,130.431535
Norway / Norwegian Agency for Development Co-operation,grant,mitigation,energy,130.200228
Canada / Global Affairs Canada,grant,adaptation,other,130.0782876
"United Kingdom / Foreign, Commonwealth and Development Office",grant,mitigation,energy,129.134579
Japan / Japanese International Co-operation Agency,debt,adaptation,industry_mining,127.66659000000001
United States / Agency for International Development,grant,both,agriculture_land_use,124.17991740000001
EU Institutions / European Commission,grant,adaptation,finance_policy,122.8997198
Global Environment Facility / GEF Trust Fund,grant,both,transport,122.317088
World Bank (IBRD/IDA),grant,mitigation,finance_policy,122.13
Germany / KfW Bankengruppe (KfW banking group),debt,mitigation,water,121.13346320000001
Asian Development Bank,grant,both,other,120.69824599904334
OPEC Fund for International Development / OPEC Fund,debt,mitigation,energy,120.0
European Bank for Reconstruction and Development ,debt,both,transport,119.92227
France / French Development Agency,debt,both,education,118.5149176
Austria / Austrian Development Bank,equity,mitigation,energy,117.358885
France / Proparco,debt,mitigation,other,117.151928
World Bank (IBRD/IDA),grant,adaptation,education,116.925
Asian Development Bank,grant,both,transport,116.83335303266666
Australia / Australian Government,grant,both,other,116.02033460000001
Australia / Australian Government,grant,adaptation,transport,113.5479176
United Kingdom / Department for Environment Food and Rural Affairs,grant,both,other,113.043359
Korea / Export-Import Bank of Korea,debt,both,finance_policy,110.0
Global Environment Facility / GEF Trust Fund,grant,mitigation,industry_mining,109.593514
Sweden / Swedish International Development Authority,grant,adaptation,other,108.9675902
France / French Development Agency,debt,adaptation,energy,108.154878
Germany / KfW Bankengruppe (KfW banking group),debt,adaptation,buildings,108.131488
Korea / Export-Import Bank of Korea,debt,adaptation,water,107.513
EU Institutions / European Commission,grant,mitigation,agriculture_land_use,105.4545148
CGIAR,grant,both,agriculture_land_use,104.0888786
France / French Development Agency,grant,adaptation,water,103.85193500000001
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,mitigation,transport,102.04459800000001
Asian Development Bank,equity,mitigation,other,101.46176646
Germany / Federal Ministry for Economic Cooperation and Development,grant,mitigation,other,101.1424236
Japan / Other Ministries,grant,adaptation,other,100.9129994
European Investment Bank,equity,mitigation,water,100.71247442295436
Australia / Australian Government,grant,both,transport,100.5177094
United States / Agency for International Development,grant,adaptation,other,100.517348
Korea / Export-Import Bank of Korea,debt,adaptation,finance_policy,100.0
Korea / Export-Import Bank of Korea,debt,both,other,100.0
EU Institutions / European Commission,grant,both,buildings,99.9675924
David and Lucile Packard Foundation / David & Lucile Packard Foundation,grant,mitigation,transport,99.353508
Denmark / Ministry of Foreign Affairs,grant,both,other,99.0372844
African Development Bank,other,mitigation,buildings,97.89088582414
United Kingdom / Department of Energy and Climate Change,grant,mitigation,buildings,96.932204
Japan / Ministry of Foreign Affairs,grant,adaptation,water,96.48949
World Bank (IBRD/IDA),other,both,other,96.0
World Bank (IBRD/IDA),grant,adaptation,agriculture_land_use,95.1
United States / International Development Finance Corporation,equity,mitigation,energy,95.0
EU Institutions / European Commission,grant,adaptation,buildings,94.9218116
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,finance_policy,93.5897728
Children's Investment Fund Foundation,grant,mitigation,finance_policy,93.457656
United States / Agency for International Development,grant,mitigation,transport,93.3908436
Denmark / Ministry of Foreign Affairs,grant,adaptation,other,92.0387408
IKEA Foundation,grant,both,energy,92.01325
UNEP / Multilateral Fund under the Montreal Protocol on Substances that Deplete the Ozone Layer,grant,mitigation,other,91.32575899999999
France / Proparco,debt,mitigation,transport,90.4812652
"Italy / Ministry of Economy and Finance funds, administered by CDP",debt,mitigation,energy,90.309323
Canada / Global Affairs Canada,grant,adaptation,agriculture_land_use,90.0839574
Germany / KfW Bankengruppe (KfW banking group),debt,both,energy,89.7577892
Asian Development Bank,grant,mitigation,energy,89.473185
European Bank for Reconstruction and Development ,equity,both,energy,88.884
Australia / Australian Government,grant,both,energy,88.697963
African Development Bank,other,both,transport,87.0
Denmark / Ministry of Foreign Affairs,grant,mitigation,energy,86.784163
"United Kingdom / Foreign, Commonwealth and Development Office",grant,mitigation,finance_policy,86.68567820000001
Global Environment Facility / GEF Trust Fund,grant,mitigation,energy,86.610989
Council of Europe Development Bank / Council of Europe Development Bank (CEB),debt,mitigation,health,86.5051904
World Bank (IBRD/IDA),debt,mitigation,buildings,86.382
Norway / Norwegian Agency for Development Co-operation,grant,adaptation,finance_policy,85.26509300000001
World Bank (IBRD/IDA),grant,adaptation,buildings,84.5
Belgium / Directorate General for Co-operation and Development,grant,both,other,84.3268396
Norway / Norwegian Agency for Development Co-operation,grant,adaptation,agriculture_land_use,81.0576054
United States / Agency for International Development,grant,mitigation,agriculture_land_use,80.718818
United Kingdom / Department of Energy and Climate Change,grant,both,industry_mining,80.619964
United States / State Department,grant,mitigation,finance_policy,80.607214
Australia / Australian Government,grant,both,finance_policy,80.2731746
"United Kingdom / Foreign, Commonwealth and Development Office",grant,both,agriculture_land_use,80.025502
Germany / Federal Ministry for Economic Cooperation and Development,grant,both,water,79.7275676
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,both,other,79.08945
Norway / Norwegian Agency for Development Co-operation,grant,adaptation,other,78.0822844
Asian Development Bank,grant,adaptation,agriculture_land_use,77.577385
France / French Development Agency,grant,adaptation,agriculture_land_use,77.534817
New Zealand / Ministry of Foreign Affairs and Trade,grant,both,energy,77.2770178
Asian Development Bank,debt,adaptation,education,75.0573756631935
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,both,finance_policy,74.94640720000001
New Zealand / Ministry of Foreign Affairs and Trade,grant,both,transport,73.8917518
France / Proparco,equity,mitigation,industry_mining,73.6752196
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,both,energy,73.3406502
France / Proparco,debt,both,industry_mining,73.2519166
European Investment Bank,debt,mitigation,agriculture_land_use,72.26297
"United Kingdom / Foreign, Commonwealth and Development Office",grant,both,health,72.2059954
Ireland / Department of Foreign Affairs,grant,adaptation,other,71.6655968
Norway / NORFUND,equity,mitigation,agriculture_land_use,71.079107
Belgium / Directorate General for Co-operation and Development,grant,both,agriculture_land_use,70.0908378
France / French Development Agency,grant,both,other,69.9920324
United States / Agency for International Development,grant,mitigation,other,69.780968
"United Kingdom / Foreign, Commonwealth and Development Office",grant,adaptation,buildings,69.1933126
World Bank (IBRD/IDA),grant,adaptation,energy,68.55
